Address,Rank,Size,Symbol,Tag
0x0010A7F4,U,000184,_ZN2nn3fnd8DateTime14FromParametersEiiiiiii,
0x0010A8B8,U,000104,_ZN2nn5gxlow3CTR10RequestDmaEPvPKvjbb,
0x0010A924,U,000092,_ZN2nn5gxlow3CTR13CmdReqQueueTx10InitializeEPv,
0x0010A980,U,000128,_ZN2nn5gxlow3CTR13SetMemoryFillEPvS2_jjS2_S2_jj,
0x0010AA04,U,000004,nngxlowSetCommandlistEx,
0x0010AA08,U,000180,_ZN2nn5gxlow3CTR14SetCommandlistEPvjbb,
0x0010AAC0,U,000120,_ZN2nn5gxlow3CTR14SetTextureCopyEPvS2_jttttj,
0x0010AB3C,U,000520,_ZN2nn5gxlow3CTR17InterruptReceiver18ReceiverThreadFuncEj,
0x0010AD58,U,000120,_ZN2nn5gxlow3CTR18SetDisplayTransferEPvttS2_ttj,
0x0010ADD4,U,000080,_ZN2nn5gxlow3CTR3Gpu10ReadHWRegsEjPhj,
0x0010AE28,U,000080,_ZN2nn5gxlow3CTR3Gpu27RegisterInterruptRelayQueueENS_6HandleEjPS3_Pi,
0x0010AE7C,U,000012,_ZN2nn5gxlow3CTR6detail14IsFatalErrModeEv,
0x0010AE8C,U,000036,_ZNK4sead9ThreadMgr12isMainThreadEv,
0x0010AEB0,U,000016,_ZN2nn2os6Thread8TypeInfo4CopyIjjEEvPKvPv,
0x0010AEC0,U,000012,_ZN2nn2os6Thread8TypeInfo6InvokeIjEEvPFvjEPKv,
0x0010AECC,U,000004,_ZN2nn2os6Thread8TypeInfo7DestroyIjEEvPv,
0x0010AED0,U,000004,,
0x0010AED4,M,000648,__printf,
0x0010B15C,U,000044,__rt_udiv10,gdef
0x0010B188,U,000108,_wcrtomb,gdef
0x0010B1F4,U,000044,_ZN2nn2os17SharedMemoryBlock12AttachAndMapENS_6HandleEjb,
0x0010B22C,U,000140,_ZN2nn2os17SharedMemoryBlock3MapEjb,
0x0010B2BC,U,000004,nngxGetPhysicalAddr,
0x0010B2C0,U,000056,_ZN2nn5gxlow3CTR15GetPhysicalAddrEj,
0x0010B2F8,U,000164,_ZN4sead11ResourceMgr11findFactoryERKNS_14SafeStringBaseIcEE,
0x0010B39C,U,000460,_ZN4sead4Path6getExtEPNS_22BufferedSafeStringBaseIcEERKNS_14SafeStringBaseIcEE,
0x0010B574,U,000308,_btod_etento,gdef
0x0010B6B4,U,000204,_printf_fp_infnan,
0x0010B790,U,000056,_btod_d2e,gdef
0x0010B7C8,U,000048,_btod_ediv,gdef
